file name,expected,extracted,status
3e9722ae_2bb1_11eb_a46b_172adadd57f0_pdf.pdf,Pennsburg,Pennsburg,True
29_7_PDF_decpage120_State_Farm_Mutual_Automobile_Insurance_Company_Dec.pdf,BLOOMINGBURG,BLOOMINGBURG,True
adac0498_2ade_11eb_9847_dd33a91edc74_pdf.pdf,Commack,Commack,True
e60d9efb_2bb1_11eb_9847_dfb96dead1d2_pdf.pdf,Plainview,Plainview,True
County_mutual73_7_PDF_amend_53.pdf,Dothan,Dothan,True
RENEWAL_STATE_FARM_FIRE_AND_CASUALTY_COMPANY_103_7_PDF_renew_221.pdf,CHILDERSBURG,CHILDERSBURG,True
6_7_PDF_cancel76_FIRST_ACCEPTANCE_INS_CI_INC_CANCEL.pdf,CITRUS HEIGHTS,CITRUS HEIGHTS,True
6d6cbed3_2baa_11eb_a46b_971c2ff47489_pdf.pdf,"Saginaw,","Saginaw,",True
63_7_PDF_cancel63_AMICA_MUTUAL_INS_CO_CANCEL.pdf,FRANKLIN,FRANKLIN,True
RENEWAL_STATE_FARM_FIRE_AND_CASUALTY_COMPANY_8_7_PDF_renew_219.pdf,CANASTOTA,CANASTOTA,True
188_AMERICAN_FREEDOM_INSURANCE_COMPANY_08_10_2020_REINST_27_PDF_reinst27.pdf,"HANOVER PARK,","HANOVER PARK,",True
Amica_Dec_116_7_PDF_dec_91.pdf,SELDEN,SELDEN,True
3b33b194_2a47_11eb_b3c4_7f4fc0b3049d_pdf.pdf,WEST ISLIP,WEST ISLIP,True
19_STATE_FARM_FIRE_CASUALTY_COMPANY_RENEWAL_DOCUMENT_21_10_2020_PDF_renew_1.pdf,PACE,PACE,True
62_7_PDF_cancel_52_Amica_Mutual_Insurance_Company_Notice.pdf,ARVADA,ARVADA,True
6_7_PDF_binder4_state_farm_ins_com.pdf,"BROADALBIN,","BROADALBIN,",True
62_7_PDF_cancel_52_Amica_Mutual_Insuracne_Company_Notice.pdf,ARVADA,ARVADA,True
6d1e7179_29d0_11eb_b3c4_85f468a434bd_pdf.pdf,BREWERTON,BREWERTON,True
Farm_Bureau_Ins_29_PDF_ID_1.pdf,LINCOLNTON,LINCOLNTON,True
101_amend186_American_national_amend.pdf,PRINEVILLE,PRINEVILLE,True
Amica_Dec_114_7_PDF_dec_91.pdf,HUNTINGTON,HUNTINGTON,True
61_7_PDF_cancel_52_Amica_Mutual_Insurance_Company_Notice.pdf,COLORADO SPRINGS,COLORADO SPRINGS,True
Erie_Insurance_Exchange.pdf,CHARLOTTESVILLE,CHARLOTTESVILLE,True
MORTGAGEE_DEC_ALLSTATE_INSURANCE_COMPANY_12_7_PDF_decpage131.pdf,Mobile,Mobile,True
6_7_PDF_binder4_state_farm_ins_com_3.pdf,"SOUTH BEND,","SOUTH BEND,",True
acde5157_2a3b_11eb_a46b_717ba6bd48f9_pdf.pdf,"SPRING,","SPRING,",True
29_7_PDF_decpage119_Erie_Insurance_Exchange_Dec.pdf,HANOVER,HANOVER,True
61_7_PDF_cancel_52_Amica_Mutual_Insurance_Company_Notice_2.pdf,COLORADO SPRINGS,COLORADO SPRINGS,True
